"","Mean","Median","St.Dev.","95%CI_low","95%CI_upp"
"NHQ[1]",0.00373257896582304,0.0035298564616779,0.00168026785941463,0.00105856873095395,0.00761466655240081
"NHQ[2]",0.00385241528913297,0.00365918560092961,0.00160448903505345,0.00123548427171916,0.00754221116625592
"NHQ[3]",0.0042375353995365,0.0040891807030631,0.00145383619845479,0.00186075710076386,0.00754629051881352
"NHQ[4]",0.00394762833142605,0.00375450962511486,0.00165046544064739,0.00129360338508789,0.00780895516381104
"NHQ[5]",0.00347372190600033,0.00316683201243033,0.00197570385189616,0.000611530955918308,0.00826761727357948
"NHQ[6]",0.00338624700543463,0.00304804651037333,0.00200024008467593,0.000532506176777203,0.00827249327360239
"NHQ[7]",0.00341710965433581,0.00309761271689384,0.0019881322523321,0.00055314750750851,0.008238054103928
"NHQ[8]",0.00352037314937855,0.00318121672155794,0.0020221752149333,0.000569151278085782,0.00838245064821785
"NHQ[9]",0.00354558899096627,0.00321621941586195,0.0020433909090189,0.000569232578725954,0.00848426350300156
"NHQ[10]",0.00347088302662405,0.00313527926971221,0.00203766502135817,0.000537213246681366,0.00837021227191351
"NHQ[11]",0.00336248755667278,0.00303236979585218,0.00200213938420464,0.000506777309932268,0.0082534508504815
"NHQ[12]",0.00339075612653686,0.00305601400726187,0.00201116777579192,0.000522661805650305,0.00829062333012983
"NHQ[13]",0.00351649986148882,0.00319633563089201,0.00203142579179648,0.000571423525447357,0.00839893478737107
"NHQ[14]",0.00372490824090779,0.00341704476778777,0.00205836930964103,0.000665708503511287,0.00860987233981171
"NHQ[15]",0.0040761289753426,0.00379250803790632,0.00216718383888796,0.00081030899506116,0.00919595811051665
"NHQ[16]",0.00433365658424104,0.00403948226181471,0.00225131319689186,0.000905285196669583,0.00965968261809345
"NHQ[17]",0.00449991187384716,0.00420685734443682,0.00229105439331609,0.00096719780853122,0.00982622059147284
"NHQ[18]",0.00479644284542357,0.00452003228222575,0.00230330026081645,0.00113358865362851,0.0101058218978441
"NHQ[19]",0.00501399233507816,0.00474747293645935,0.00221542780972049,0.0014147336611771,0.0101206343396764
"NHQ[20]",0.00565368145899726,0.00538427591519566,0.00226179818311349,0.0019725320095407,0.0107971728375966
"NHQ[21]",0.00607268703058021,0.00580814064120522,0.00227987513327262,0.00229073728893693,0.0112246616863593
"NHQ[22]",0.00667081092181156,0.00638917233398598,0.00240687691805021,0.00268434443295181,0.0120097638895398
"NHQ[23]",0.00695206189489661,0.00668035805639489,0.00235989418029724,0.00306099474205407,0.0121788672278171
"NHQ[24]",0.00695288686161443,0.00666925605941334,0.00233485626057735,0.00311304949845139,0.012080843989911
"NHQ[25]",0.00668930923953375,0.00643614653904448,0.00227766899360127,0.00294972516855808,0.0117868535605096
"NHQ[26]",0.0069626981047101,0.00661923677928961,0.00269627389575004,0.00257340237719031,0.0130502657387935
"NHQ[27]",0.00713542352871087,0.00644449118698787,0.00406890735975434,0.00128297194093004,0.0167662233768745
"NHQ[28]",0.00681434625188553,0.0062584443495139,0.00348481720929514,0.00158259156793442,0.0149399199009795
"NHQ[29]",0.0055798816389247,0.00541086506178844,0.00234520357146242,0.00162906064983534,0.0106784759900224
"NHQ[30]",0.00604369413395339,0.00574078305263354,0.00259538966494341,0.00193111346780994,0.0119419478062284
"NHQ[31]",0.00647438925938626,0.00599027689121005,0.00314457974041918,0.00170602966928623,0.013673301570119
"NHQ[32]",0.00559633132386385,0.00533748687424552,0.00210489190088627,0.00221902875234222,0.0103416610994643
"NHQ[33]",0.00489742154099985,0.00465256789972623,0.00218948896801165,0.00136614492637023,0.00991744331403578
"NHQ[34]",0.00462699102638421,0.00433978821880281,0.00234181490964072,0.000918663781842347,0.0100164492548471
"NHQ[35]",0.00468095642305618,0.00436646971435203,0.00236681752943948,0.000978156485164507,0.0101783192913495
"NHQ[36]",0.00489262693213517,0.00460500327510368,0.00221900006589405,0.00138576180025596,0.010053367830508
"NHQ[37]",0.00557684477929972,0.00537752136113534,0.00197108295701085,0.0024052047990096,0.0100530896229107
"NHQ[38]",0.00587598851629608,0.0056350052267164,0.00210088523252724,0.0025081396776812,0.0106465990463566
"NHQ[39]",0.00624792786149166,0.00599059158403766,0.00222535884291749,0.00268027531421182,0.011330836774513
"NHQ[40]",0.00670527693719871,0.00643552560262415,0.00233267895990273,0.00295683773855696,0.0120743685999527
"NHQ[41]",0.00680277222510177,0.00646417999996449,0.00252486756877463,0.00275389395890059,0.0125701784142806
"NHQ[42]",0.00701407165579267,0.00666802688320615,0.00284186380432901,0.00239989988676039,0.0133784465466885
"NHQ[43]",0.00767116252998855,0.00727189396098685,0.00367680690542757,0.00186514288102149,0.0158978800393015
"NHQ[44]",0.00785949318958107,0.00750226971582766,0.00339718824134297,0.00244556670475519,0.015512123978539
"NHQ[45]",0.00776476182735165,0.00736424460015578,0.00291593734343366,0.00314588862256132,0.0143610264719347
