"","Mean","Median","St.Dev.","95%CI_low","95%CI_upp"
"NHQ[29]",0.0589273173086028,0.0577164911847921,0.0150702835443992,0.0331354369614021,0.0918593214011206
"NHQ[30]",0.0646886215957546,0.0635910286438128,0.0210490561444266,0.0272379971827835,0.108408315455751
"NHQ[31]",0.0677891079884552,0.0668719763362894,0.0188051238973261,0.0335324799899321,0.106202941651688
"NHQ[32]",0.0671430098769789,0.0657537464088808,0.0180740716030176,0.0364482800072155,0.105536260706153
"NHQ[33]",0.0647473524080278,0.0644790556473544,0.0204242704571272,0.0221572267836688,0.105038488815391
"NHQ[34]",0.0637459896362717,0.0616686522883663,0.0198651243476702,0.0315943171173343,0.107970379825969
"NHQ[35]",0.0597631935707662,0.0576072264095961,0.0219948346461485,0.0235593716098978,0.108392642233132
"NHQ[36]",0.0732033595080098,0.071804463174033,0.025668214144561,0.0271946972934409,0.126677281588219
"NHQ[37]",0.0845843233735059,0.0824762538429109,0.0290088973140218,0.0345640157938691,0.145728245357887
"NHQ[38]",0.0800257990217537,0.0790178534549896,0.0310064998771194,0.0168733141917746,0.143699811059241
"NHQ[39]",0.064672418210671,0.0627745691346688,0.0235846096098889,0.0245424497272606,0.115917206708315
"NHQ[40]",0.0609398680472995,0.0612744080410023,0.0236833013328197,0.00733654954857988,0.10777136343039
"NHQ[41]",0.0458099865893252,0.043028083886865,0.0294298103782618,6.46373954597471e-07,0.111336192114537
"NHQ[42]",0.0522067789897376,0.0532365807932448,0.0214680407614559,0.00146401685090926,0.0923202942348613
"NHQ[43]",0.0480735488394044,0.0464420597654399,0.0148434822746617,0.0233561118875115,0.0813682458976088
"NHQ[44]",0.0370016917146783,0.034679300798106,0.016867540833787,0.0115451063790896,0.0765031954425965
"NHQ[45]",0.0472238681856083,0.0459553594424123,0.0127175073769183,0.0256272165438503,0.0750216204352613
"NHQ[46]",0.051910816703092,0.0507758933923058,0.0139100257355626,0.0277897705477018,0.0815970535779809
"NHQ[47]",0.0419244695325406,0.0404403882432949,0.0128658999365634,0.0207191939107424,0.0705434686059901
"NHQ[48]",0.0378328576283396,0.0365709254951197,0.0126734159835158,0.0168022044209448,0.0660693886918405
"NHQ[49]",0.0331059114767184,0.0326045876974792,0.0149097679987343,0.00366894706667873,0.0634353527221751
"NHQ[50]",0.0301892149179521,0.028762767107452,0.0115336254322395,0.0113746882873556,0.0560420500151428
"NHQ[51]",0.0258455925852834,0.0250024057895497,0.0104519687777178,0.00674095993889998,0.0486147105774805
"NHQ[52]",0.0288589182409418,0.0275751910245491,0.00976120147559426,0.0127339974654616,0.0503246819681021
"NHQ[53]",0.0262211281051067,0.0253963043243207,0.00893406871432593,0.0107333211811639,0.0454606392694656
"NHQ[54]",0.0240055702834301,0.0230790148481069,0.0094293333508135,0.0087078294171955,0.045122491359616
"NHQ[55]",0.0333522176504266,0.0323580025159937,0.00959187090762801,0.0171412736263848,0.0547429131478377
"NHQ[56]",0.0348212485179913,0.0336685953485481,0.0102454381764569,0.0175974681076469,0.057675577225537
"NHQ[57]",0.029949375478514,0.0289016762911088,0.00881102273949892,0.0151460039633754,0.0495790652702921
"NHQ[58]",0.030177777637195,0.0293172953332766,0.00909229556507158,0.0148391509926577,0.0499378273411667
"NHQ[59]",0.028700812402888,0.0275653451681449,0.00958214874980983,0.0127107926683134,0.050591597785039
"NHQ[60]",0.0323299632872877,0.0314030904482277,0.013261777816156,0.00917154799677141,0.0613765859569729
"NHQ[61]",0.0326655933023157,0.0314608370501668,0.0124130896631074,0.0108955692378767,0.0603866368138319
"NHQ[62]",0.0263624023470417,0.0244112837097198,0.0132385645322628,0.0058990292194485,0.0575354977411046
"NHQ[63]",0.0211209599131412,0.0197883384032624,0.0109253714050248,0.0040535542527489,0.0460287182295073
"NHQ[64]",0.0234387478072124,0.0219704799756934,0.0110885007898162,0.00587909867238011,0.0487312362457081
"NHQ[65]",0.0205281425757138,0.0193302979817001,0.00923499268427694,0.00567645434037143,0.0417329587356517
"NHQ[66]",0.0160091113223666,0.0151061837255585,0.00723635006528829,0.00473011693456228,0.0331321199767891
"NHQ[67]",0.0180036173539734,0.0172131097619703,0.00654964530882186,0.00730685309328501,0.0331262816087229
"NHQ[68]",0.0155748472639838,0.0148940115311331,0.00545114562837306,0.0064431360479776,0.0279242004416859
"NHQ[69]",0.0134710297388842,0.0129992969801484,0.0047061494665914,0.00552869466849738,0.0242054459320095
"NHQ[70]",0.0107550541609972,0.0102842353509268,0.00382003797808265,0.00434975272746391,0.019551760216196
"NHQ[71]",0.00837110314151118,0.00791941156515623,0.00364376912498529,0.00269603825956323,0.0166690781845168
"NHQ[72]",0.00872500619543183,0.00819155288839127,0.00446908511188958,0.00173719638884688,0.0183829565612139
"NHQ[73]",0.00696187177365136,0.00639728927860468,0.00484335182761808,0.000195627900752919,0.0172042342646604
"NHQ[74]",0.00663608477025076,0.00593585969931527,0.00522855984398851,2.04299602672322e-05,0.0176323495525396
"NHQ[75]",0.00368899356128311,0.00261984496347439,0.00360438818620365,2.91755335617743e-07,0.0121512465529216
"NHQ[76]",0.00220927938318481,0.00135617690321398,0.00238136605927921,5.09788757460707e-25,0.00801753630018412
"NHQ[77]",0.00384771477945295,0.00288447665383416,0.0036237233692231,2.47803783572384e-06,0.012141433629686
"NHQ[78]",0.00385306991147822,0.00323460781944755,0.00304530616357687,6.44947343501297e-05,0.010744228494473
"NHQ[79]",0.00346492247861689,0.00304614877737206,0.00227873456721422,0.00029906498301283,0.00862827456735058
"NHQ[80]",0.00472574316831181,0.00445648923695389,0.0022384162997508,0.00115222595449693,0.00973585359078427
"NHQ[81]",0.00657806211952121,0.00629839347501595,0.00285502942240203,0.00202688546558604,0.0128973939026239
"NHQ[82]",0.00825706242080788,0.00790258028892956,0.00326551513050744,0.00279775864181429,0.0153427872645829
"NHQ[83]",0.00692152742899842,0.00654790984804737,0.00312265208207511,0.00180580419902895,0.0137946236654669
"NHQ[84]",0.00540759451665525,0.00503811923535628,0.00287042108768748,0.000982606568308941,0.0118556319525294
"NHQ[85]",0.0076688911822958,0.00705559252260135,0.00445490039025677,0.00105857912259608,0.0183807814317734
"NHQ[86]",0.010953968947712,0.0102657935739966,0.00519883693700013,0.002628009723929,0.0228631588365563
"NHQ[87]",0.018927884135332,0.0183761071790705,0.00743079263316191,0.00591404272777617,0.0351349101521355
"NHQ[88]",0.0232722845812714,0.0223992739313664,0.00834722087675655,0.00922995363358831,0.0418264248635968
"NHQ[89]",0.0331803010082652,0.032043230705244,0.0122578470440228,0.0120383022468655,0.0609762748471134
"NHQ[90]",0.0509361269496788,0.0496897407394556,0.0132520782696545,0.0272509096377092,0.0794090389630573
"NHQ[91]",0.062045147508293,0.0609632187303457,0.0195585799924597,0.0266588408025366,0.104516939099317
"NHQ[92]",0.0834782317177645,0.0823208291879039,0.0208009482067277,0.0465753538237195,0.127440352121575
